Study,Group,Drug,Control,MID,V0,V,duration,V/V0,V/V0_sm,V/V0_cen,C0,V/C0,V/C0_sm,V/C0_cen,lg_V/C0,lg_V/C0_sm,lg_V/C0_cen,log_V/V0,log_V/V0_sm,log_V/V0_cen
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_22,180.59,720.56,28.0,3.990032670690514,3.8377570744435303,0.15227559624698372,161.751,4.454748347769101,3.8105544942535126,0.6441938535155884,1.4939705717333718,1.1594960450163545,0.3344745267170173,1.996400559392538,1.7679865626892812,0.2284139967032568
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_28,257.18,940.1,28.0,3.6554164398475777,3.8377570744435303,-0.18234063459595262,161.751,5.81201970930628,3.8105544942535126,2.001465215052767,1.7599281368423898,1.1594960450163545,0.6004320918260353,1.8700357732034552,1.7679865626892812,0.10204921051417393
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_34,92.8,591.18,28.0,6.370474137931034,3.8377570744435303,2.532717063487504,161.751,3.6548769404825934,3.8105544942535126,-0.15567755377091919,1.2960624238203227,1.1594960450163545,0.13656637880396816,2.671400752542115,1.7679865626892812,0.9034141898528338
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_37,122.39,410.72,28.0,3.355829724650707,3.8377570744435303,-0.48192734979282337,161.751,2.539211504101984,3.8105544942535126,-1.2713429901515285,0.9318536013807148,1.1594960450163545,-0.22764244363563968,1.7466695150524076,1.7679865626892812,-0.021317047636873587
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_40,87.21,110.57,28.0,1.2678591904598098,3.8377570744435303,-2.5698978839837205,161.751,0.6835815543644242,3.8105544942535126,-3.126972939889088,-0.38040931118780524,1.1594960450163545,-1.5399053562041598,0.342394527412914,1.7679865626892812,-1.4255920352763671
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_8,156.22,649.26,28.0,4.156061963897068,3.8377570744435303,0.31830488945353785,161.751,4.0139473635402565,3.8105544942535126,0.20339286928674394,1.3897751370694968,1.1594960450163545,0.23027909205314234,2.0552171639487185,1.7679865626892812,0.2872306012594372
TM00208,GRP3 IV Cisplatin,Cisplatin,0.0,830_9,157.53,225.59,28.0,1.4320446899003365,3.8377570744435303,-2.405712384543194,161.751,1.394674530605684,3.8105544942535126,-2.4158799636478285,0.3326610766582167,1.1594960450163545,-0.8268349683581377,0.5180765155711377,1.7679865626892812,-1.2499100471181435
TM00208,GRP1 IV D5W,D5W,1.0,830_18,111.52,956.17,28.0,8.573977761836442,5.575613523677495,2.9983642381589473,161.751,5.911369945162626,5.051696743760472,0.8596732014021544,1.7768776057682072,1.4573321516082889,0.3195454541599183,3.0999646752689642,2.2061034448612555,0.8938612304077087
TM00208,GRP1 IV D5W,D5W,1.0,830_25,152.56,427.4,28.0,2.8015207131620343,5.575613523677495,-2.7740928105154605,161.751,2.6423329685751553,5.051696743760472,-2.4093637751853163,0.9716622271429316,1.4573321516082889,-0.4856699244653573,1.486210159234417,2.2061034448612555,-0.7198932856268385
TM00208,GRP1 IV D5W,D5W,1.0,830_27,217.62,1295.45,28.0,5.9528076463560335,5.575613523677495,0.3771941226785387,161.751,8.008914937156494,5.051696743760472,2.957218193396022,2.080555288378225,1.4573321516082889,0.6232231367699359,2.5735702771760764,2.2061034448612555,0.3674668323148209
