Study,Group,Drug,Control,MID,Day,Size
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,11.0,87.32
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,15.0,72.26
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,18.0,54.98
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,22.0,22.91
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-01,25.0,55.55
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,-1.0,110.95
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,4.0,183.92
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,8.0,152.14
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,11.0,168.34
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,15.0,101.89
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,18.0,80.0
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,22.0,47.99
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-08,25.0,75.97
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,-1.0,161.21
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,4.0,197.31
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,8.0,198.94
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,11.0,161.13
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,15.0,160.79
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,18.0,114.67
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,22.0,55.78
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-14,25.0,35.46
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-27,-1.0,86.06
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-27,4.0,210.21
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-27,8.0,126.07
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-27,11.0,139.64
TM00098,Group 3 IV Cisplatin,Cisplatin,0.0,126-27,15.0,127.34
