Day,Drug,Other Info,Replicate Number,Sample,Tumor Volume mm3,source_file,excel_sheet
14.0,Vehicle,,M0,HCI-023,359.8976205,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Vehicle,,M0,HCI-023,336.3808275,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Vehicle,,M0,HCI-023,461.087288,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Vehicle,,M1,HCI-023,308.594592,43018_2022_337_MOESM7_ESM.xlsx,6f top left
3.0,Vehicle,,M1,HCI-023,418.392126,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Vehicle,,M1,HCI-023,483.502662,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Vehicle,,M1,HCI-023,616.002922,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Vehicle,,M1,HCI-023,522.31344,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Vehicle,,M1,HCI-023,636.172547,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Vehicle,,M1,HCI-023,918.174908,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Vehicle,,M2,HCI-023,201.698308,43018_2022_337_MOESM7_ESM.xlsx,6f top left
3.0,Vehicle,,M2,HCI-023,256.3903225,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Vehicle,,M2,HCI-023,238.077184,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Vehicle,,M2,HCI-023,334.855354,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Vehicle,,M2,HCI-023,406.002456,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Vehicle,,M2,HCI-023,331.88535,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Vehicle,,M2,HCI-023,471.7524005,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Vehicle,,M3,HCI-023,200.552418,43018_2022_337_MOESM7_ESM.xlsx,6f top left
3.0,Vehicle,,M3,HCI-023,259.949736,43018_2022_337_MOESM7_ESM.xlsx,6f top left
7.0,Vehicle,,M3,HCI-023,172.15315,43018_2022_337_MOESM7_ESM.xlsx,6f top left
10.0,Vehicle,,M3,HCI-023,250.970112,43018_2022_337_MOESM7_ESM.xlsx,6f top left
14.0,Vehicle,,M3,HCI-023,235.99035,43018_2022_337_MOESM7_ESM.xlsx,6f top left
17.0,Vehicle,,M3,HCI-023,370.445886,43018_2022_337_MOESM7_ESM.xlsx,6f top left
21.0,Vehicle,,M3,HCI-023,357.499688,43018_2022_337_MOESM7_ESM.xlsx,6f top left
1.0,Vehicle,,M4,HCI-023,343.748438,43018_2022_337_MOESM7_ESM.xlsx,6f top left
